input_dec,input_hex,dut_ceil_log2
349,0x0000015d,9
356,0x00000164,9
362,0x0000016a,9
420,0x000001a4,9
435,0x000001b3,9
442,0x000001ba,9
457,0x000001c9,9
475,0x000001db,9
476,0x000001dc,9
483,0x000001e3,9
486,0x000001e6,9
500,0x000001f4,9
510,0x000001fe,9
511,0x000001ff,9
512,0x00000200,9
513,0x00000201,10
514,0x00000202,10
523,0x0000020b,10
525,0x0000020d,10
540,0x0000021c,10
547,0x00000223,10
557,0x0000022d,10
697,0x000002b9,10
726,0x000002d6,10
761,0x000002f9,10
765,0x000002fd,10
850,0x00000352,10
932,0x000003a4,10
939,0x000003ab,10
984,0x000003d8,10
1001,0x000003e9,10
1022,0x000003fe,10
1023,0x000003ff,10
1024,0x00000400,10
1025,0x00000401,11
1026,0x00000402,11
1039,0x0000040f,11
1072,0x00000430,11
1078,0x00000436,11
1205,0x000004b5,11
1277,0x000004fd,11
1453,0x000005ad,11
1474,0x000005c2,11
1514,0x000005ea,11
1587,0x00000633,11
1599,0x0000063f,11
2046,0x000007fe,11
2047,0x000007ff,11
2048,0x00000800,11
2049,0x00000801,12
2050,0x00000802,12
2099,0x00000833,12
2344,0x00000928,12
2650,0x00000a5a,12
2771,0x00000ad3,12
3797,0x00000ed5,12
4094,0x00000ffe,12
4095,0x00000fff,12
4096,0x00001000,12
4097,0x00001001,13
4098,0x00001002,13
4184,0x00001058,13
4418,0x00001142,13
4428,0x0000114c,13
4446,0x0000115e,13
4813,0x000012cd,13
4964,0x00001364,13
7207,0x00001c27,13
7979,0x00001f2b,13
8190,0x00001ffe,13
8191,0x00001fff,13
8192,0x00002000,13
8193,0x00002001,14
8194,0x00002002,14
8913,0x000022d1,14
8921,0x000022d9,14
8957,0x000022fd,14
15746,0x00003d82,14
16382,0x00003ffe,14
16383,0x00003fff,14
16384,0x00004000,14
16385,0x00004001,15
16386,0x00004002,15
16455,0x00004047,15
16673,0x00004121,15
16775,0x00004187,15
16892,0x000041fc,15
17148,0x000042fc,15
31799,0x00007c37,15
31949,0x00007ccd,15
32564,0x00007f34,15
32766,0x00007ffe,15
32767,0x00007fff,15
32768,0x00008000,15
32769,0x00008001,16
32770,0x00008002,16
32824,0x00008038,16
32888,0x00008078,16
33224,0x000081c8,16
33305,0x00008219,16
64709,0x0000fcc5,16
64738,0x0000fce2,16
64792,0x0000fd18,16
65019,0x0000fdfb,16
65534,0x0000fffe,16
65535,0x0000ffff,16
65536,0x00010000,16
65537,0x00010001,17
65538,0x00010002,17
65555,0x00010013,17
65808,0x00010110,17
66018,0x000101e2,17
66241,0x000102c1,17
66327,0x00010317,17
66484,0x000103b4,17
130170,0x0001fc7a,17
130421,0x0001fd75,17
130664,0x0001fe68,17
130734,0x0001feae,17
130879,0x0001ff3f,17
131070,0x0001fffe,17
131071,0x0001ffff,17
131072,0x00020000,17
131073,0x00020001,18
131074,0x00020002,18
131080,0x00020008,18
131113,0x00020029,18
131178,0x0002006a,18
131404,0x0002014c,18
131427,0x00020163,18
131996,0x0002039c,18
132027,0x000203bb,18
261185,0x0003fc41,18
261544,0x0003fda8,18
261979,0x0003ff5b,18
262142,0x0003fffe,18
262143,0x0003ffff,18
262144,0x00040000,18
262145,0x00040001,19
262146,0x00040002,19
262249,0x00040069,19
262744,0x00040258,19
262938,0x0004031a,19
523337,0x0007fc49,19
523560,0x0007fd28,19
523614,0x0007fd5e,19
523792,0x0007fe10,19
523856,0x0007fe50,19
524286,0x0007fffe,19
524287,0x0007ffff,19
524288,0x00080000,19
524289,0x00080001,20
524290,0x00080002,20
524377,0x00080059,20
524440,0x00080098,20
1047665,0x000ffc71,20
1047859,0x000ffd33,20
1048069,0x000ffe05,20
